员工编号,年龄,性别,婚姻状况,婚姻状况编码,学历,学历编码,专业,是否成年,部门,岗位,职级,出差频率,出差频率编码,离家距离,是否加班,是否加班编码,标准工时,年度培训次数,总工龄,本企业工龄,现岗年限,晋升间隔,与现任经理共事年限,跳槽次数,月收入,时薪,日薪,月薪,调薪幅度,股权激励等级,股权激励等级编码,环境满意,环境满意编码,人际关系满意,人际关系满意编码,工作满意,工作满意编码,敬业度,敬业度编码,工作与生活平衡,工作与生活平衡编码,绩效评级,绩效评级编码,是否离职,是否离职编码,员工计数
434,27,女,单身,0,本科,3,生命科学,是,研发部,研究科学家,1,偶尔出差,0,5,是,1,80,2,4,4,3,1,2,1,2478,85,1220,20938,0.12,无,0,高,3,中,2,中,2,高,3,好,2,优秀,3,否,0,1
436,32,女,已婚,1,大专,2,工程技术,是,销售部,销售主管,2,偶尔出差,0,8,是,1,80,2,13,13,12,11,9,1,5228,65,588,24624,0.11,无,0,高,3,非常高,4,中,2,中,2,更好,3,优秀,3,否,0,1
437,27,男,单身,0,本科,3,生命科学,是,销售部,销售主管,2,偶尔出差,0,2,是,1,80,3,5,5,4,0,4,1,4478,74,1377,5242,0.11,无,0,非常高,4,低,1,高,3,高,3,更好,3,优秀,3,否,0,1
438,31,男,离异,2,本科,3,市场营销,是,销售部,销售主管,2,偶尔出差,0,7,否,0,80,3,13,7,7,1,7,4,7547,73,691,7143,0.12,高级,3,非常高,4,非常高,4,非常高,4,高,3,更好,3,优秀,3,否,0,1
439,32,女,单身,0,硕士,4,医学,是,研发部,研究科学家,2,偶尔出差,0,2,否,0,80,0,10,7,7,0,7,7,5055,74,1018,10557,0.16,无,0,低,1,高,3,非常高,4,非常高,4,好,2,优秀,3,否,0,1
440,28,男,已婚,1,硕士,4,医学,是,研发部,研究科学家,1,偶尔出差,0,2,是,1,80,4,5,3,2,2,2,5,3464,84,1157,24737,0.13,无,0,低,1,非常高,4,非常高,4,低,1,好,2,优秀,3,是,1,1
441,30,女,已婚,1,大专,2,医学,是,研发部,研究科学家,2,偶尔出差,0,28,否,0,80,2,11,10,8,1,9,1,5775,64,1275,11934,0.13,中级,2,非常高,4,非常高,4,非常高,4,高,3,更好,3,优秀,3,否,0,1
442,31,女,已婚,1,大专,2,生命科学,是,研发部,制造总监,3,频繁出差,1,7,否,0,80,2,10,10,9,8,9,1,8943,48,798,14034,0.24,低级,1,高,3,低,1,高,3,中,2,更好,3,杰出,4,否,0,1
444,39,男,已婚,1,大专,2,医学,是,研发部,经理,5,频繁出差,1,7,否,0,80,2,21,21,9,13,3,1,19272,54,672,21141,0.15,低级,1,高,3,低,1,非常高,4,中,2,更好,3,优秀,3,否,0,1
445,39,女,已婚,1,大专,2,医学,是,销售部,销售主管,2,偶尔出差,0,3,是,1,80,3,12,1,0,0,0,4,5238,41,1162,17778,0.18,无,0,非常高,4,低,1,高,3,高,3,好,2,优秀,3,是,1,1
446,33,男,单身,0,本科,3,市场营销,是,销售部,销售主管,2,频繁出差,1,10,否,0,80,6,9,7,7,0,1,3,4682,46,508,4317,0.14,无,0,中,2,高,3,非常高,4,中,2,好,2,优秀,3,否,0,1
447,47,男,已婚,1,博士,5,生命科学,是,研发部,研究总监,5,偶尔出差,0,5,否,0,80,2,21,3,2,1,1,4,18300,42,1482,16375,0.11,低级,1,非常高,4,中,2,高,3,高,3,更好,3,优秀,3,否,0,1
448,43,女,离异,2,硕士,4,生命科学,是,研发部,实验室技术员,2,频繁出差,1,10,否,0,80,3,9,9,7,0,0,1,5257,82,559,6227,0.11,低级,1,高,3,中,2,高,3,中,2,最好,4,优秀,3,否,0,1
449,27,男,已婚,1,大专以下,1,市场营销,是,销售部,销售主管,2,不出差,2,1,是,1,80,0,6,5,4,1,4,0,6349,73,210,22107,0.13,低级,1,高,3,非常高,4,中,2,高,3,更好,3,优秀,3,否,0,1
450,54,女,单身,0,硕士,4,生命科学,是,研发部,研究科学家,2,频繁出差,1,20,否,0,80,4,20,4,3,0,3,3,4869,31,928,16885,0.12,无,0,非常高,4,非常高,4,高,3,高,3,好,2,优秀,3,否,0,1
451,43,女,已婚,1,本科,3,生命科学,是,研发部,医疗代表,3,偶尔出差,0,7,否,0,80,1,10,1,0,0,0,8,9985,43,1001,9262,0.16,低级,1,高,3,低,1,低,1,高,3,好,2,优秀,3,否,0,1
452,45,男,已婚,1,硕士,4,其他,是,研发部,研究科学家,2,偶尔出差,0,8,否,0,80,3,12,10,9,9,8,9,3697,75,549,9278,0.14,中级,2,非常高,4,低,1,非常高,4,高,3,更好,3,优秀,3,否,0,1
453,40,男,已婚,1,大专,2,医学,是,销售部,销售主管,2,偶尔出差,0,1,是,1,80,2,6,4,3,0,2,2,7457,57,1124,13273,0.22,高级,3,中,2,高,3,非常高,4,低,1,好,2,杰出,4,否,0,1
454,29,男,已婚,1,硕士,4,其他,是,研发部,实验室技术员,1,偶尔出差,0,8,是,1,80,4,7,7,7,0,7,1,2119,77,318,4759,0.11,无,0,中,2,非常高,4,低,1,低,1,好,2,优秀,3,是,1,1
455,29,男,单身,0,博士,5,其他,是,研发部,实验室技术员,1,偶尔出差,0,9,否,0,80,2,4,3,2,2,2,0,3983,30,738,7621,0.17,无,0,中,2,高,3,非常高,4,中,2,更好,3,优秀,3,否,0,1
456,30,女,离异,2,本科,3,市场营销,是,销售部,销售主管,2,偶尔出差,0,5,否,0,80,2,10,10,9,1,2,1,6118,30,570,5431,0.13,高级,3,非常高,4,高,3,高,3,中,2,更好,3,优秀,3,否,0,1
458,27,女,已婚,1,硕士,4,市场营销,是,销售部,销售主管,2,偶尔出差,0,8,否,0,80,3,8,8,7,0,7,1,6214,56,1130,3415,0.18,低级,1,中,2,低,1,中,2,高,3,更好,3,优秀,3,否,0,1
460,37,男,离异,2,大专,2,医学,是,研发部,制造总监,2,偶尔出差,0,5,否,0,80,2,8,6,2,0,4,7,6347,61,1192,23177,0.16,中级,2,非常高,4,高,3,非常高,4,高,3,好,2,优秀,3,否,0,1
461,38,男,离异,2,大专,2,生命科学,是,研发部,研究总监,3,偶尔出差,0,15,是,1,80,3,12,11,10,2,9,0,11510,92,343,15682,0.14,低级,1,高,3,中,2,非常高,4,中,2,更好,3,优秀,3,否,0,1
462,31,女,单身,0,硕士,4,医学,是,研发部,制造总监,3,偶尔出差,0,7,是,1,80,2,11,11,9,4,10,1,7143,39,1232,25713,0.14,无,0,高,3,高,3,非常高,4,高,3,好,2,优秀,3,否,0,1
463,29,女,离异,2,大专以下,1,市场营销,是,销售部,销售主管,2,偶尔出差,0,10,是,1,80,2,7,7,7,1,7,1,8268,39,144,11866,0.14,中级,2,非常高,4,低,1,中,2,中,2,更好,3,优秀,3,否,0,1
464,35,男,单身,0,硕士,4,工程技术,是,研发部,制造总监,3,偶尔出差,0,5,否,0,80,5,17,16,6,0,13,0,8095,62,1296,18264,0.13,无,0,高,3,非常高,4,中,2,高,3,更好,3,优秀,3,否,0,1
465,23,男,离异,2,大专以下,1,生命科学,是,研发部,研究科学家,1,偶尔出差,0,26,否,0,80,2,4,4,2,0,2,1,2904,83,1309,16092,0.12,中级,2,高,3,高,3,非常高,4,高,3,好,2,优秀,3,否,0,1
466,41,男,单身,0,本科,3,医学,是,研发部,制造总监,2,偶尔出差,0,6,是,1,80,3,8,5,4,1,2,6,6032,95,483,10110,0.15,无,0,非常高,4,非常高,4,中,2,中,2,更好,3,优秀,3,否,0,1
467,47,男,单身,0,大专以下,1,医学,是,销售部,销售代表,2,频繁出差,1,4,否,0,80,3,5,0,0,0,0,3,2976,99,1309,25751,0.19,无,0,中,2,低,1,高,3,高,3,更好,3,优秀,3,否,0,1
468,42,女,单身,0,博士,5,生命科学,是,研发部,研究总监,4,偶尔出差,0,23,否,0,80,2,16,1,0,0,0,2,15992,44,810,15901,0.14,无,0,低,1,中,2,非常高,4,高,3,更好,3,优秀,3,否,0,1
469,29,男,已婚,1,本科,3,生命科学,是,销售部,销售主管,2,不出差,2,2,否,0,80,3,4,4,3,0,2,1,4649,61,746,16928,0.14,低级,1,非常高,4,低,1,高,3,高,3,好,2,优秀,3,否,0,1
470,42,男,离异,2,大专以下,1,工程技术,是,人力资源部,人力资源专员,1,偶尔出差,0,2,是,1,80,5,4,3,2,1,0,0,2696,52,544,24017,0.11,低级,1,高,3,高,3,高,3,高,3,更好,3,优秀,3,否,0,1
471,32,女,已婚,1,本科,3,医学,是,研发部,实验室技术员,1,偶尔出差,0,2,否,0,80,4,8,8,0,0,7,1,2370,75,1062,3956,0.13,低级,1,高,3,高,3,中,2,高,3,更好,3,优秀,3,否,0,1
473,48,女,已婚,1,大专以下,1,医学,是,销售部,经理,3,偶尔出差,0,29,否,0,80,3,15,0,0,0,0,3,12504,91,530,23978,0.21,低级,1,低,1,中,2,高,3,高,3,差,1,杰出,4,否,0,1
474,37,男,离异,2,本科,3,医学,是,研发部,研究科学家,2,偶尔出差,0,6,是,1,80,2,13,7,7,6,7,4,5974,51,1319,17001,0.13,中级,2,高,3,低,1,低,1,非常高,4,更好,3,优秀,3,否,0,1
475,30,女,已婚,1,大专,2,工程技术,是,销售部,销售主管,2,不出差,2,25,是,1,80,2,4,2,2,2,2,7,4736,85,641,6069,0.12,低级,1,非常高,4,中,2,高,3,高,3,最好,4,优秀,3,否,0,1
476,26,男,已婚,1,本科,3,生命科学,是,销售部,销售主管,2,偶尔出差,0,1,否,0,80,3,8,8,7,7,7,1,5296,57,933,20156,0.17,低级,1,高,3,中,2,高,3,高,3,更好,3,优秀,3,否,0,1
477,42,男,单身,0,硕士,4,其他,是,研发部,医疗代表,2,偶尔出差,0,2,否,0,80,6,14,1,0,0,0,3,6781,98,1332,17078,0.23,无,0,低,1,中,2,非常高,4,中,2,更好,3,杰出,4,否,0,1
478,21,女,单身,0,大专以下,1,工程技术,是,销售部,销售代表,1,频繁出差,1,1,是,1,80,3,3,3,2,1,2,1,2174,99,756,9150,0.11,无,0,低,1,高,3,中,2,中,2,更好,3,优秀,3,是,1,1
479,36,女,单身,0,博士,5,医学,是,销售部,销售主管,2,不出差,2,1,否,0,80,6,7,1,0,0,0,4,6653,45,845,15276,0.15,无,0,非常高,4,中,2,非常高,4,高,3,更好,3,优秀,3,否,0,1
481,36,男,已婚,1,硕士,4,医学,是,销售部,销售主管,3,频繁出差,1,3,否,0,80,2,16,13,9,1,12,4,9699,48,541,7246,0.11,低级,1,低,1,低,1,非常高,4,中,2,更好,3,优秀,3,否,0,1
482,57,男,已婚,1,硕士,4,医学,是,研发部,医疗代表,2,偶尔出差,0,1,否,0,80,2,15,3,2,1,2,2,6755,88,593,2967,0.11,无,0,非常高,4,高,3,高,3,高,3,更好,3,优秀,3,否,0,1
483,40,女,已婚,1,硕士,4,生命科学,是,研发部,实验室技术员,1,偶尔出差,0,10,是,1,80,3,10,7,7,1,7,3,2213,46,1171,22495,0.13,低级,1,非常高,4,高,3,高,3,非常高,4,更好,3,优秀,3,否,0,1
484,21,男,单身,0,大专,2,医学,是,销售部,销售代表,1,不出差,2,9,否,0,80,3,3,3,2,2,2,1,2610,39,895,2851,0.24,无,0,低,1,高,3,非常高,4,高,3,好,2,杰出,4,否,0,1
485,33,女,单身,0,本科,3,市场营销,是,销售部,销售代表,1,偶尔出差,0,5,是,1,80,2,1,1,0,0,0,1,2851,34,350,9150,0.13,无,0,非常高,4,中,2,高,3,高,3,更好,3,优秀,3,是,1,1
486,37,女,已婚,1,本科,3,医学,是,研发部,实验室技术员,1,偶尔出差,0,10,否,0,80,3,17,5,4,0,3,6,3452,98,921,17663,0.2,低级,1,高,3,中,2,低,1,高,3,更好,3,杰出,4,否,0,1
487,46,女,已婚,1,硕士,4,医学,是,研发部,制造总监,2,不出差,2,7,否,0,80,2,7,1,0,0,0,2,5258,30,1144,16044,0.14,无,0,高,3,高,3,高,3,高,3,最好,4,优秀,3,否,0,1
488,41,男,单身,0,本科,3,市场营销,是,销售部,销售主管,2,频繁出差,1,4,否,0,80,5,8,8,7,7,7,1,9355,56,143,9558,0.18,无,0,低,1,高,3,中,2,高,3,更好,3,优秀,3,是,1,1
491,50,男,单身,0,本科,3,工程技术,是,研发部,医疗代表,3,偶尔出差,0,10,否,0,80,2,20,4,3,1,3,6,10496,100,1046,2755,0.15,无,0,非常高,4,非常高,4,非常高,4,中,2,更好,3,优秀,3,否,0,1
492,40,男,已婚,1,大专,2,市场营销,是,销售部,销售主管,2,偶尔出差,0,22,是,1,80,6,8,6,4,1,0,2,6380,68,575,6110,0.12,中级,2,高,3,低,1,高,3,中,2,更好,3,优秀,3,是,1,1
493,31,男,单身,0,硕士,4,生命科学,是,研发部,研究科学家,1,偶尔出差,0,9,是,1,80,5,3,2,2,2,2,0,2657,42,408,7551,0.16,无,0,高,3,非常高,4,中,2,中,2,更好,3,优秀,3,否,0,1
494,21,女,单身,0,本科,3,生命科学,是,销售部,销售代表,1,偶尔出差,0,12,否,0,80,0,1,1,0,0,0,1,2716,90,156,25422,0.15,无,0,高,3,非常高,4,中,2,非常高,4,更好,3,优秀,3,是,1,1
495,29,男,单身,0,本科,3,生命科学,是,研发部,研究科学家,1,偶尔出差,0,23,否,0,80,4,6,3,2,1,2,9,2201,54,1283,18168,0.16,无,0,非常高,4,非常高,4,非常高,4,高,3,更好,3,优秀,3,否,0,1
496,35,男,单身,0,硕士,4,生命科学,是,研发部,医疗代表,2,偶尔出差,0,9,否,0,80,5,10,1,1,0,0,9,6540,97,755,19394,0.19,无,0,高,3,高,3,中,2,中,2,更好,3,优秀,3,否,0,1
497,27,男,离异,2,大专,2,医学,是,研发部,实验室技术员,1,偶尔出差,0,1,否,0,80,2,5,5,2,0,4,1,3816,82,1469,17881,0.11,低级,1,非常高,4,中,2,中,2,高,3,更好,3,优秀,3,否,0,1
498,28,男,单身,0,硕士,4,生命科学,是,销售部,销售主管,2,偶尔出差,0,9,否,0,80,1,7,7,5,0,7,1,5253,92,304,20750,0.16,无,0,中,2,非常高,4,非常高,4,高,3,更好,3,优秀,3,否,0,1
499,49,男,单身,0,本科,3,其他,是,研发部,医疗代表,3,偶尔出差,0,7,否,0,80,2,26,5,2,0,0,8,10965,31,1261,12066,0.24,无,0,中,2,高,3,高,3,中,2,更好,3,杰出,4,否,0,1
500,51,女,已婚,1,大专,2,生命科学,是,销售部,销售主管,2,偶尔出差,0,14,否,0,80,2,18,7,7,0,7,4,4936,87,1178,14862,0.11,低级,1,高,3,高,3,非常高,4,高,3,好,2,优秀,3,否,0,1
501,36,女,已婚,1,本科,3,生命科学,是,研发部,研究科学家,1,偶尔出差,0,2,否,0,80,3,6,2,2,2,2,4,2543,96,329,11868,0.13,低级,1,非常高,4,中,2,高,3,高,3,更好,3,优秀,3,否,0,1
502,34,男,单身,0,本科,3,市场营销,是,销售部,销售主管,2,不出差,2,19,是,1,80,3,9,5,2,0,4,8,5304,67,1362,4652,0.13,无,0,低,1,中,2,非常高,4,非常高,4,好,2,优秀,3,是,1,1
505,55,女,单身,0,本科,3,生命科学,是,研发部,经理,4,偶尔出差,0,2,是,1,80,2,30,5,4,1,2,2,16659,97,1311,23258,0.13,无,0,高,3,高,3,非常高,4,高,3,更好,3,优秀,3,否,0,1
507,24,女,离异,2,硕士,4,市场营销,是,销售部,销售主管,2,偶尔出差,0,10,是,1,80,2,5,5,2,0,3,1,4260,77,1371,5915,0.12,低级,1,非常高,4,非常高,4,高,3,高,3,最好,4,优秀,3,否,0,1
508,30,男,已婚,1,大专以下,1,工程技术,是,销售部,销售代表,1,偶尔出差,0,2,否,0,80,3,1,1,0,0,0,1,2476,72,202,17434,0.18,低级,1,高,3,低,1,中,2,高,3,更好,3,优秀,3,否,0,1
510,26,男,单身,0,大专以下,1,工程技术,是,研发部,研究科学家,1,频繁出差,1,3,否,0,80,2,7,6,4,0,4,0,3102,73,575,6582,0.22,无,0,高,3,高,3,低,1,高,3,更好,3,杰出,4,是,1,1
511,22,女,已婚,1,本科,3,医学,是,研发部,研究科学家,1,偶尔出差,0,11,否,0,80,1,2,2,1,1,2,1,2244,43,253,24440,0.13,低级,1,低,1,非常高,4,中,2,高,3,更好,3,优秀,3,否,0,1
513,36,男,已婚,1,大专,2,医学,是,销售部,销售主管,3,偶尔出差,0,2,否,0,80,2,10,10,9,9,0,1,7596,61,164,3809,0.13,中级,2,中,2,中,2,高,3,中,2,更好,3,优秀,3,否,0,1
514,30,男,单身,0,本科,3,工程技术,是,研发部,研究科学家,1,频繁出差,1,4,是,1,80,4,3,1,0,0,0,9,2285,40,464,3427,0.23,无,0,高,3,高,3,非常高,4,高,3,更好,3,杰出,4,是,1,1
515,37,女,离异,2,本科,3,生命科学,是,研发部,实验室技术员,1,偶尔出差,0,14,否,0,80,2,18,18,7,12,17,1,3034,95,1107,26914,0.12,低级,1,非常高,4,高,3,低,1,高,3,好,2,优秀,3,否,0,1
516,40,女,离异,2,大专,2,市场营销,是,销售部,销售主管,2,偶尔出差,0,2,否,0,80,5,8,5,4,1,3,7,5715,46,759,22553,0.12,中级,2,非常高,4,高,3,中,2,高,3,更好,3,优秀,3,否,0,1
517,42,女,离异,2,硕士,4,生命科学,是,研发部,实验室技术员,1,偶尔出差,0,1,否,0,80,5,8,5,2,1,2,3,2576,95,201,20490,0.16,低级,1,中,2,中,2,低,1,高,3,更好,3,优秀,3,否,0,1
518,37,男,单身,0,硕士,4,生命科学,是,研发部,制造总监,2,偶尔出差,0,10,是,1,80,2,18,1,0,0,1,2,4197,49,1305,21123,0.12,无,0,高,3,非常高,4,中,2,高,3,好,2,优秀,3,否,0,1
520,43,男,离异,2,本科,3,生命科学,是,研发部,研究总监,4,偶尔出差,0,12,否,0,80,3,25,25,10,3,9,1,14336,59,982,4345,0.11,低级,1,低,1,高,3,中,2,中,2,更好,3,优秀,3,否,0,1
521,40,女,已婚,1,本科,3,医学,是,研发部,实验室技术员,2,偶尔出差,0,2,否,0,80,3,20,1,0,0,0,6,3448,78,555,13436,0.22,低级,1,中,2,中,2,高,3,中,2,更好,3,杰出,4,否,0,1
522,54,男,已婚,1,大专,2,医学,是,研发部,研究总监,5,偶尔出差,0,5,否,0,80,4,24,4,2,1,2,4,19406,86,821,8509,0.11,低级,1,低,1,高,3,低,1,高,3,好,2,优秀,3,否,0,1
523,34,女,已婚,1,硕士,4,市场营销,是,销售部,销售主管,2,不出差,2,4,否,0,80,3,6,3,2,1,2,9,6538,72,1381,12740,0.15,低级,1,高,3,低,1,高,3,高,3,更好,3,优秀,3,否,0,1
524,31,女,已婚,1,大专,2,医学,是,研发部,制造总监,2,偶尔出差,0,7,否,0,80,5,13,13,10,3,12,1,4306,31,480,4156,0.12,低级,1,中,2,中,2,低,1,高,3,差,1,优秀,3,否,0,1
525,43,男,已婚,1,本科,3,医学,是,研发部,实验室技术员,1,频繁出差,1,21,否,0,80,1,8,3,2,1,2,7,2258,61,313,15238,0.2,低级,1,非常高,4,低,1,非常高,4,高,3,更好,3,杰出,4,否,0,1
526,43,女,离异,2,硕士,4,其他,是,研发部,医疗代表,2,偶尔出差,0,8,是,1,80,3,8,5,2,0,2,4,4522,74,1473,2227,0.14,无,0,高,3,非常高,4,高,3,高,3,更好,3,优秀,3,否,0,1
527,25,女,单身,0,大专,2,生命科学,是,销售部,销售主管,2,偶尔出差,0,4,是,1,80,3,5,5,4,1,3,1,4487,99,891,12090,0.11,无,0,中,2,中,2,非常高,4,中,2,更好,3,优秀,3,否,0,1
529,37,女,已婚,1,博士,5,医学,是,研发部,研究科学家,2,不出差,2,25,是,1,80,2,15,13,11,10,7,3,4449,72,1063,23866,0.15,中级,2,中,2,低,1,高,3,高,3,更好,3,优秀,3,否,0,1
530,31,男,已婚,1,大专,2,生命科学,是,研发部,实验室技术员,1,偶尔出差,0,1,否,0,80,3,4,4,2,3,2,1,2218,98,329,16193,0.12,低级,1,非常高,4,高,3,低,1,中,2,更好,3,优秀,3,否,0,1
531,39,男,离异,2,大专以下,1,生命科学,是,研发部,经理,5,频繁出差,1,1,是,1,80,3,21,21,8,1,6,1,19197,52,1218,8213,0.14,低级,1,中,2,高,3,高,3,高,3,更好,3,优秀,3,否,0,1
532,56,女,已婚,1,本科,3,生命科学,是,销售部,销售主管,4,频繁出差,1,6,否,0,80,0,36,7,7,7,7,9,13212,86,906,18256,0.11,高级,3,高,3,非常高,4,低,1,非常高,4,好,2,优秀,3,否,0,1
533,30,女,单身,0,本科,3,工程技术,是,销售部,销售主管,2,偶尔出差,0,12,否,0,80,6,6,5,4,4,4,0,6577,83,1082,19558,0.11,无,0,中,2,中,2,高,3,高,3,更好,3,优秀,3,否,0,1
534,41,男,已婚,1,本科,3,市场营销,是,销售部,销售主管,3,偶尔出差,0,1,否,0,80,2,10,10,7,0,7,1,8392,49,645,19566,0.16,低级,1,中,2,高,3,低,1,非常高,4,更好,3,优秀,3,否,0,1
536,28,男,离异,2,大专,2,医学,是,研发部,实验室技术员,2,偶尔出差,0,17,否,0,80,2,10,10,0,1,8,1,4558,79,1300,13535,0.12,低级,1,高,3,非常高,4,低,1,高,3,更好,3,优秀,3,否,0,1
538,25,男,已婚,1,本科,3,医学,是,研发部,实验室技术员,1,偶尔出差,0,3,否,0,80,5,6,2,2,0,2,5,4031,91,688,9396,0.13,低级,1,低,1,高,3,低,1,高,3,更好,3,优秀,3,是,1,1
543,52,男,已婚,1,本科,3,医学,是,研发部,制造总监,3,偶尔出差,0,3,是,1,80,4,28,5,4,0,4,2,7969,39,319,19609,0.14,无,0,非常高,4,高,3,高,3,中,2,更好,3,优秀,3,否,0,1
544,45,男,已婚,1,大专,2,生命科学,是,研发部,研究科学家,1,偶尔出差,0,10,否,0,80,3,8,2,2,0,2,3,2654,69,192,9655,0.21,中级,2,低,1,非常高,4,非常高,4,高,3,好,2,杰出,4,否,0,1
546,52,女,已婚,1,大专,2,生命科学,是,研发部,经理,4,偶尔出差,0,4,否,0,80,2,31,5,2,1,4,2,16555,30,1490,10310,0.13,无,0,非常高,4,非常高,4,非常高,4,高,3,差,1,优秀,3,否,0,1
547,42,女,离异,2,大专,2,生命科学,是,研发部,研究科学家,2,频繁出差,1,29,否,0,80,3,19,5,4,0,2,2,4556,92,532,12932,0.11,低级,1,低,1,中,2,高,3,高,3,更好,3,优秀,3,否,0,1
548,30,女,单身,0,本科,3,生命科学,是,研发部,制造总监,2,偶尔出差,0,2,否,0,80,2,11,5,4,0,2,2,6091,43,317,24793,0.2,无,0,高,3,高,3,非常高,4,低,1,更好,3,杰出,4,否,0,1
549,60,女,已婚,1,本科,3,生命科学,是,研发部,经理,5,偶尔出差,0,7,否,0,80,5,33,29,8,11,10,5,19566,41,422,3854,0.11,无,0,低,1,非常高,4,低,1,高,3,差,1,优秀,3,否,0,1
550,46,女,离异,2,本科,3,医学,是,研发部,制造总监,2,偶尔出差,0,18,否,0,80,5,19,10,7,0,8,2,4810,87,1485,26314,0.14,低级,1,高,3,高,3,高,3,高,3,好,2,优秀,3,否,0,1
551,42,女,已婚,1,硕士,4,工程技术,是,研发部,医疗代表,2,频繁出差,1,28,否,0,80,4,7,6,5,0,4,0,4523,88,1368,4386,0.11,高级,3,非常高,4,非常高,4,非常高,4,中,2,最好,4,优秀,3,否,0,1
554,24,女,单身,0,大专以下,1,工程技术,是,销售部,销售代表,1,偶尔出差,0,1,是,1,80,4,6,5,3,1,4,1,3202,62,1448,21972,0.16,无,0,低,1,中,2,中,2,高,3,更好,3,优秀,3,是,1,1
555,34,女,离异,2,大专,2,市场营销,是,销售部,销售代表,1,频繁出差,1,6,否,0,80,3,3,2,2,1,0,0,2351,33,296,12253,0.16,低级,1,非常高,4,非常高,4,高,3,低,1,好,2,优秀,3,是,1,1
556,38,男,已婚,1,大专,2,生命科学,是,研发部,实验室技术员,1,频繁出差,1,2,是,1,80,3,1,1,0,0,0,1,1702,42,1490,12106,0.23,低级,1,非常高,4,高,3,非常高,4,高,3,更好,3,杰出,4,否,0,1
558,40,女,已婚,1,硕士,4,生命科学,是,销售部,经理,5,偶尔出差,0,2,否,0,80,2,21,20,15,1,12,0,18041,79,1398,13022,0.14,无,0,高,3,非常高,4,高,3,高,3,更好,3,优秀,3,否,0,1
560,26,女,离异,2,本科,3,生命科学,是,研发部,研究科学家,1,偶尔出差,0,23,否,0,80,3,3,3,2,0,2,1,2886,90,1349,3032,0.22,中级,2,低,1,中,2,非常高,4,高,3,差,1,杰出,4,否,0,1
562,30,男,已婚,1,本科,3,生命科学,是,研发部,实验室技术员,1,不出差,2,3,否,0,80,3,9,5,3,1,4,4,2097,53,1400,16734,0.15,低级,1,高,3,高,3,非常高,4,高,3,差,1,优秀,3,否,0,1
564,29,男,已婚,1,硕士,4,医学,是,研发部,研究总监,3,偶尔出差,0,3,否,0,80,2,10,10,2,0,7,1,11935,93,986,21526,0.18,无,0,中,2,高,3,高,3,中,2,更好,3,优秀,3,否,0,1
565,29,女,已婚,1,博士,5,工程技术,是,研发部,研究科学家,1,偶尔出差,0,25,否,0,80,2,6,2,2,1,1,5,2546,71,408,18300,0.16,无,0,高,3,中,2,中,2,中,2,最好,4,优秀,3,是,1,1
566,19,男,单身,0,大专,2,工程技术,是,人力资源部,人力资源专员,1,偶尔出差,0,2,否,0,80,3,1,1,0,0,0,1,2564,52,489,18437,0.12,无,0,低,1,高,3,非常高,4,中,2,最好,4,优秀,3,是,1,1
567,30,女,已婚,1,硕士,4,其他,是,销售部,销售主管,3,不出差,2,22,否,0,80,3,10,9,8,7,8,0,8412,69,1398,2890,0.11,无,0,高,3,高,3,低,1,高,3,更好,3,优秀,3,否,0,1
568,57,男,离异,2,本科,3,市场营销,是,销售部,经理,4,偶尔出差,0,29,否,0,80,3,32,1,0,0,0,3,14118,56,210,22102,0.12,低级,1,低,1,高,3,非常高,4,中,2,好,2,优秀,3,否,0,1
569,50,男,已婚,1,硕士,4,生命科学,是,研发部,经理,4,偶尔出差,0,29,否,0,80,2,28,27,10,15,7,0,17046,88,1099,9314,0.15,低级,1,中,2,中,2,高,3,中,2,更好,3,优秀,3,否,0,1
571,30,女,单身,0,本科,3,医学,是,研发部,实验室技术员,1,不出差,2,2,否,0,80,2,12,11,7,6,7,0,2564,49,1116,7181,0.14,无,0,高,3,高,3,非常高,4,高,3,好,2,优秀,3,否,0,1
573,60,女,已婚,1,本科,3,市场营销,是,销售部,销售主管,3,频繁出差,1,28,否,0,80,5,22,18,13,13,11,4,10266,80,1499,2845,0.19,无,0,高,3,非常高,4,低,1,中,2,最好,4,优秀,3,否,0,1
574,47,女,离异,2,大专,2,医学,是,研发部,制造总监,2,偶尔出差,0,2,否,0,80,2,20,5,0,0,4,5,5070,65,983,7389,0.13,高级,3,低,1,高,3,非常高,4,高,3,更好,3,优秀,3,否,0,1
575,46,男,已婚,1,本科,3,生命科学,是,研发部,研究总监,4,偶尔出差,0,2,否,0,80,2,26,3,2,0,1,6,17861,51,1009,2288,0.13,无,0,低,1,高,3,高,3,高,3,差,1,优秀,3,否,0,1
577,35,男,单身,0,本科,3,生命科学,是,研发部,实验室技术员,1,偶尔出差,0,22,否,0,80,2,6,5,4,4,3,0,4230,46,144,19225,0.15,无,0,非常高,4,高,3,高,3,低,1,更好,3,优秀,3,否,0,1
578,54,女,单身,0,硕士,4,生命科学,是,研发部,实验室技术员,2,偶尔出差,0,8,否,0,80,3,19,1,0,0,0,7,3780,42,548,23428,0.11,无,0,高,3,高,3,高,3,高,3,更好,3,优秀,3,否,0,1
579,34,男,离异,2,硕士,4,生命科学,是,研发部,研究科学家,1,偶尔出差,0,2,否,0,80,3,14,7,3,5,7,3,2768,62,1303,8416,0.12,低级,1,非常高,4,高,3,高,3,中,2,更好,3,优秀,3,否,0,1
